"","Bib","First Name","Last Name","Taftsville Bridge","Pretty House","Stage Rd","Route 12","Lincoln Covered Bridge","Lillians","Camp 10 Bear Out","Pinky's","Birminghams","Margaritaville","Puckerbrush","Brown School House","Camp 10 Bear In","Seabrook","Spirit of 76","Cow Shed","Bill's","Keating's","Polly's","Finish"
"3",6,"Michael","Rafferty","2:54","4:05","6:05","6:57","7:55","9:08","10:01","10:50","11:29","12:31","13:14","13:53","14:53","16:03","16:42","18:14","19:19","20:09","21:00","22:08"
"12",17,"Carrie","Anderson","2:34","3:35","5:24","6:03","6:56","7:59","8:43","9:39","10:17","11:15","11:54","12:30","13:28","14:46","15:20","17:02","18:11","19:19","20:18","21:25"
"13",18,"Jamie","Anderson","2:52","3:59","5:53","6:34","7:33","","9:31","10:22","11:00","12:00","12:41","13:20","14:20","15:27","15:59","17:32","18:37","19:31","20:17","21:15"
"14",22,"Todd","Archambault","2:23","3:23","5:08","5:48","6:42","7:51","8:38","9:37","10:15","11:15","11:55","12:35","13:35","14:55","15:31","17:17","18:33","19:40","20:40","22:22"
"18",30,"David","Baird","2:44","3:50","5:35","6:14","7:08","8:17","9:03","9:56","10:37","11:41","12:28","13:08","14:10","15:37","16:12","18:09","19:28","20:37","21:47","22:55"
"29",44,"Michael","Bielik","2:46","","5:53","6:34","7:34","8:45","9:31","10:27","11:08","12:11","12:55","13:34","14:35","15:52","16:21","18:14","19:25","19:50","20:38","21:38"
"32",48,"David","Boudreau","2:49","3:54","5:43","6:21","7:46","8:20","9:04","9:56","10:35","11:38","12:20","13:01","14:07","15:18","15:46","17:40","18:52","19:54","20:59","22:19"
"34",51,"Matthew","Bucklin","2:31","3:32","5:20","5:59","6:56","8:02","8:46","9:44","10:22","11:23","12:05","12:44","13:47","15:05","15:38","17:12","18:24","19:22","20:19","21:29"
"38",55,"Steven","Carr","2:26","3:23","5:07","5:48","6:44","7:51","8:36","9:28","10:05","11:05","11:45","12:25","13:26","14:39","15:19","17:13","18:44","20:03","21:21","22:51"
"40",58,"Donnie","Chapman","2:34","3:35","5:24","6:03","7:00","8:08","8:55","9:52","10:32","11:32","12:20","12:58","13:56","15:18","15:54","17:47","19:02","20:06","21:06","22:08"
"53",73,"Andrew","Crews","2:46","3:56","5:44","6:24","7:20","8:30","9:17","10:07","10:45","11:46","12:27","13:07","14:09","15:24","16:01","18:00","19:09","20:05","20:59","22:13"
"56",76,"Justin","Curreri","2:32","3:35","5:28","6:12","7:11","8:21","9:17","10:08","10:46","11:49","12:38","13:21","14:37","15:48","16:20","17:58","19:18","20:15","21:14","22:34"
"61",86,"Timothy","Dowling","2:32","3:35","5:28","6:12","7:11","8:20","9:07","10:08","10:47","11:49","12:38","13:20","14:12","15:27","15:58","17:31","18:31","19:21","20:10","21:09"
"65",90,"Stephanie","Dupal-Demartin","2:41","3:48","5:50","6:34","9:32","8:42","9:31","10:32","11:11","12:17","13:04","13:40","14:42","16:00","16:38","18:37","19:53","20:50","21:48","22:55"
"70",102,"Vincent","Gauthier","2:34","3:41","5:33","6:14","7:15","8:23","9:07","10:02","10:41","11:45","12:30","","14:08","15:20","16:02","17:40","18:55","19:54","20:54","22:08"
"82",123,"Steve","Hawkins","2:37","3:43","5:44","6:25","7:23","8:34","9:22","10:19","10:57","11:57","12:41","13:19","14:18","15:27","16:02","17:37","18:47","31:46","20:37","21:30"
"85",128,"Yuichiro","Hidaka","2:29","3:30","5:18","5:57","6:57","8:02","8:50","9:54","10:32","11:36","12:26","13:06","14:07","15:16","15:51","17:36","18:51","19:58","21:02","22:20"
"87",130,"Nicholas","Hobbs","2:29","3:29","5:16","6:01","7:00","8:08","8:54","9:48","10:30","11:33","12:28","13:04","14:04","15:07","15:37","17:06","18:12","19:15","20:09","21:15"
"99",146,"Bertram","Johnson","2:41","3:47","5:36","6:15","7:11","8:17","8:58","9:52","10:30","11:31","12:13","12:51","13:50","15:01","15:37","17:14","18:24","19:27","20:32","21:42"
"101",148,"J. Bob","Jones","2:34","3:33","5:18","5:58","6:54","8:01","8:45","9:48","10:26","11:29","12:12","12:54","13:57","15:24","15:59","17:41","18:51","19:52","20:52","21:59"
"103",150,"Richard","Kabanuck","2:21","3:20","5:09","5:46","6:34","7:38","8:18","9:11","9:44","10:35","11:19","11:49","12:37","13:56","14:25","15:53","16:57","19:52","20:45","22:11"
"112",167,"Steven","LaBranche","2:56","4:11","6:10","6:52","7:49","9:00","9:47","10:38","11:15","12:19","13:02","13:38","14:37","15:47","16:22","18:06","19:23","20:26","21:20","22:25"
"145",216,"Amy","Morgan","2:55","4:03","6:02","6:47","7:49","8:59","","10:42","11:21","12:26","13:16","13:55","14:53","16:08","","18:36","19:56","20:56","21:45","22:59"
"146",220,"Aaron","Mulder","2:29","3:31","5:32","6:14","7:06","8:07","8:47","9:41","10:15","11:12","11:50","12:27","13:27","14:45","15:26","17:15","18:26","19:30","20:30","21:40"
"151",228,"Ken","Niemimaa","2:41","3:46","5:35","6:11","7:07","8:15","8:59","9:53","10:31","11:32","12:11","12:48","13:49","14:59","15:34","17:08","18:20","19:15","20:05","21:07"
"154",233,"Yoshio","Otaki","2:29","3:29","5:19","5:58","6:57","","8:50","9:56","10:41","11:52","12:38","13:21","14:26","15:42","16:19","18:07","19:25","20:28","21:33","22:51"
"165",247,"Gary","Pzegeo","2:44","3:33","5:18","5:57","6:49","19:53","8:41","9:29","10:06","11:05","11:45","12:22","13:39","14:29","15:04","17:18","18:30","19:34","20:33","21:47"
